valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
730000;Excelente cobertura no residencial Top Life Taguatinga. COBERTURA TOP LIFE TAGUATINGA   3QTOS SENDO UMA SUÍTE, CLOSTE  APARTAMENTO COM PROJETO DE ILUMINAÇÃO, ARMÁRIOS PLANEJADOS, T...;QI; Setor Industrial;3;2;2;94;700;500;Nenhuma;1;0;0;0;0;1
320000;Quadra QMSW 06 Lote 2 Bloco A   Edifício Léliton Gonçalves JR   Sudoeste  Procurando conforto, segurança e bem estar, acaba de encontrar!  Aproximadamente a 800 m do Memorial JK, 5...;Setor Sudoeste; Brasília;1;0;1;28;830;344;Nenhuma;0;0;0;0;0;0
220000;QN 21 RESIDENCIAL IPÊ ROXO no riacho fundo OPORTUNIDADE  Lindo Apartamente de 2 Quartos ,Sala, cozinha e banheiro,Uma vaga de garagem, Fica no segundo andar,Condomínio fechado ,por...;QN 21 Conjunto 2; Riacho Fundo II;2;1;1;50;0;0;Nenhuma;0;0;0;0;0;0
405000;"*QNM 38 Conjunto D2* *Taguatinga Norte*    Casa com 3Qts à venda, 200 m².   Reformada em uma das melhores quadras da M Norte   2 banheiros;    Sala integrada com a cozinha;    Ilha...";QNM 38 Conjunto D2; Taguatinga Norte;3;2;2;150;550;0;Nenhuma;0;0;0;0;0;0
1550000;OPORTUNIDADE! último lote a venda na smpw 9. VENDA ou troca por casa em lote de 800metros na Arqueiras, Vicente Pires ou no Jardim Botânico CONDOMÍNIO CONSOLIDADO, COM 8 Frações co...;SMPW Quadra 9 Conjunto 4; Park Way ;1;0;1;2500;0;100;Nenhuma;0;0;0;1;0;0
300000;Casa a venda no Riacho Fundo 1 Quadra QS10 .   Casa de fundo com 2 Quartos , sala , cozinha e banheiro. Casa lateral com 01 quarto e banheiro. Lote de 150 metros .  Ótima localizaç...;QS 10 Conjunto 3B; Riacho Fundo I;3;4;2;100;0;0;Nenhuma;0;0;0;1;0;0
180000;APARTAMENTO, 2 QUARTOS, REFORMADO, ELEVADOR, VICENTE PIRES  CONDIÇÃO DE PAGAMENTO PARA VENDA: Valor de venda R$ 180.000,00 Valor do condomínio R$ 200,00  LOCALIZAÇÃO: Endereço: Rua...;Setor Habitacional Vicente Pires; Brasília;2;0;1;48;0;200;Nenhuma;0;0;0;0;0;0
125000;Excelente lote em condomínio fechado, 400m2, condomínio formando, Rua 4.125 mil;Rodovia DF-240; Km 86 - Rodovia Taguatinga/Brazlândia Chácara;1;0;1;400;0;70;Nenhuma;0;0;0;0;0;0
250000;Casa nova com 3 qts, sendo uma suíte, sala, copa, cozinha com revestimento nas paredes, cerâmica, blindex, banheiro social, garagem para 5 carros, toda na laje com estrutura para m...;Quadra 510 Conjunto 6; Recanto das Emas;3;5;2;98;200;0;Nenhuma;1;0;0;0;0;0
5999;Corumbá IV: BORA PESCAR, O lançamento mais esperado as margens do Lago Corumbá 4.   * CONDOMÍNIO BORA PESCAR*  CORUMBÁ IV  LOTES NA BEIRA DO LAGO  Contato&Whatsapp: (61) 9.9671.500...;Rodovia DF-005; Setor de Mansoes do Lago Norte;1;0;1;1000;0;0;Nenhuma;0;0;0;0;0;0
1199000;VENHA MORAR NUM DOS MELHORES CONDOMÍNIOS DE PONTE ALTA  LOCALIZAÇÃO ESPETACULAR CONDOMÍNIO MUITO ORGANIZADO RUA LARGA EM BLOQUETE  CASA MARAVILHOSA SÃO CINCO QUARTOS SENDO DOIS SUÍ...;Rua JK; Norte;5;6;5;350;1200;160;Nenhuma;0;0;0;0;0;0
218000;Vendo ou alugo excelente sala Ed. Via Capital, quinto andar unidade 508, vista panorâmica. preço de ocasião, vaga dupla, para até dois veículos. O Edifício Via Capital, um Centro e...;SBN Quadra; Asa Norte;1;1;1;33;0;517;Destaque;0;0;0;0;0;0
460000;Quadra 101   Res Eliane Fleury   Águas Claras  Excelente apartamento composto por:   02 quartos sendo 01 suíte   01 vaga de garagem   Sala   Cozinha   Vista livre para a praça   DE...;Norte; Brasília;2;1;1;62;0;480;Nenhuma;1;0;0;0;0;0
890000;CASA À VENDA NO JARDIM BOTÂNICO CONDOMÍNIO ESTÂNCIA DEL REY COM 202,08m² LOTE COM 700M² COM ESTRUTURA PARA 2º ANDAR    OPORTUNIDADE! TOTALMENTE MOBILIADA ESCRITURADA E REGISTRADA,...;Condomínio Estância Del Rey; Setor Habitacional Tororo;2;4;3;202;600;304;Nenhuma;0;0;0;0;0;0
4700000;PLANTÃO DE VENDA: Jorge 61.99959.1207 Escritório Águas Claras: (61) 3526.1006. Fale direto comigo!  SOBRADO ALTO PADRÃO PARK WAY.  Fração: 2500m². Área Construída: 840m².    Térreo...;SMPW Quadra 3 Conjunto 4; Park Way ;5;2;5;840;4149;0;Nenhuma;0;0;0;0;0;0
380000;Excelente casa na QNN 04 toda na laje, com 3 quartos sendo 1 suíte. Porcelanato e armários planejados.Agende sua visita!;QNN 4 Conjunto N; Ceilandia Sul;3;3;2;150;0;0;Nenhuma;1;0;0;0;0;1
