valor,quartos,garagem,banheiro,area,suite,academia,varanda,transporte,salao,planejado,latitude,longitude
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,3,5,2,98,1,0,0,0,0,0,-15.9025481,-48.0607778
85000,2,2,1,120,0,0,0,1,0,0,-15.9025481,-48.0607778
120000,2,2,1,112,0,0,0,1,0,0,-15.9025481,-48.0607778
360000,3,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
300000,3,3,2,150,1,0,0,0,0,0,-15.9025481,-48.0607778
